,0
0,0.7406486977928752
1,-0.5173543979086109
2,0.1324659627722743
3,2.092943745969397
4,-1.1541385502107686
5,0.12883678821003938
6,0.6608226638650236
7,-0.44902829546973133
8,-1.174488452702368
9,2.697374340400208
10,-0.37266966674899676
11,-0.7454822870202271
12,1.4390169010921874
13,0.3107781834693246
14,-2.118193378227309
15,0.508757186363425
16,-0.9348495504897385
17,-0.6165093473305219
18,-1.174248704221275
19,0.6571985775632323
20,-1.1964856981215075
21,1.2238444305731044
22,0.18155351647227186
23,-0.07487505858428964
24,-0.38839419252695023
25,0.006127783312548193
26,1.0936195040588663
27,-0.36002085513385096
28,0.08033371616767015
29,2.2143967403318787
30,-0.660091500291873
31,-0.5952389793700021
32,0.9166881991567046
33,0.9997588390101679
34,0.1569349487513987
35,-0.8551418259693462
36,0.3381363589684124
37,-0.8225516601243197
38,1.831462349436261
39,-1.70980436874863
40,0.8715989879620627
41,0.23586346884256
42,-0.2649280493805864
43,-0.36533652502226566
44,1.2212481275736375
45,0.22366886450412926
46,-0.32729841660269826
47,-0.4565763234997681
48,-1.4601397051178104
